Year,World,Mex,
01/01/1990,6.35,14.41,
01/01/1991,6.5,13.2,
01/01/1992,6.6,13.4,
01/01/1993,6.7,13.3,
01/01/1994,6.8,11.9,
01/01/1995,6.94,13.26,
01/01/1996,7,13.1,
01/01/1997,7.1,12.7,
01/01/1998,7.2,12.2,
01/01/1999,7.4,12.8,
01/01/2000,7.38,12.17,
01/01/2001,7.2,11.3,
01/01/2002,7.3,10.7,
01/01/2003,7.3,10.2,
01/01/2004,7.4,10.2,
01/01/2005,7.56,10.31,
01/01/2006,7.8,9.8,
01/01/2007,8,9.5,
01/01/2008,8.3,9.8,
01/01/2009,8.6,9.2,
01/01/2010,8.72,9.36,
01/01/2011,8.8,9.1,
01/01/2012,9.3,9,
01/01/2013,9.7,9.2,
01/01/2014,9.9,9.8,
01/01/2015,10.11,9.19,
01/01/2016,10.4,9.2,
01/01/2017,10.7,10,
01/01/2018,11.1,10,
01/01/2019,11.46,10.34,
01/01/2020,12,10.3,
