rat,x1,x2,x3,x4,x5,treatment
1,151,199,246,283,320,0
2,145,199,249,293,354,0
3,147,214,263,312,328,0
4,155,200,237,272,297,0
5,135,188,230,280,323,0
6,159,210,252,298,331,0
7,141,189,231,275,305,0
8,159,201,248,297,338,0
9,177,236,285,340,376,0
10,134,182,220,260,296,0
11,160,208,261,313,352,0
12,143,188,220,273,314,0
13,154,200,244,289,325,0
14,171,221,270,326,358,0
15,163,216,242,281,312,0
16,160,207,248,288,324,0
17,142,187,234,280,316,0
18,156,203,243,283,317,0
19,157,212,259,307,336,0
20,152,203,246,286,321,0
21,154,205,253,298,334,0
22,139,190,225,267,302,0
23,146,191,229,272,302,0
24,157,211,250,285,323,0
25,132,185,237,286,331,0
26,160,207,257,303,345,0
27,169,216,261,295,333,0
28,157,205,248,289,316,0
29,137,180,219,258,291,0
30,153,200,244,286,324,0
31,114,151,188,214,253,1
32,140,189,229,258,303,1
33,133,176,220,252,282,1
34,132,168,208,234,270,1
35,119,155,186,207,233,1
36,155,190,220,243,262,1
37,117,146,188,214,245,1
38,129,160,199,228,261,1
39,148,192,227,247,278,1
40,144,183,220,245,278,1
41,117,145,177,210,245,1
42,156,208,242,278,319,1
43,108,137,164,189,221,1
44,140,178,210,235,265,1
45,139,180,221,256,289,1
46,129,170,209,251,289,1
47,122,154,191,226,254,1
48,134,178,212,247,276,1
49,131,169,206,242,278,1
50,119,155,190,225,264,1
51,140,178,220,249,285,1
52,136,167,204,232,271,1
53,148,184,225,250,284,1
54,145,178,219,252,290,1
55,146,175,212,233,266,1
56,118,154,178,203,226,1
57,147,190,221,259,286,1
58,143,182,210,240,264,1
59,148,197,235,279,309,1
60,136,177,223,256,287,1
